MISSING_CANDIDATE	丘	く	9
	T	く	八百比丘尼	はっぴゃくびくに
	T	く	八百比丘尼	やおびくに
	T	く	屁負い比丘尼	へおいびくに
	T	く	屁追い比丘尼	へおいびくに
	T	く	比丘	びく
MISSING_CANDIDATE	丹	た	3
	T	た	棚から牡丹餅	たなからぼたもち
	T	た	棚牡丹	たなぼた
	T	た	牡丹餅	ぼたもち
MISSING_CANDIDATE	丹	だん	3
	T	だん	振丹	しんだん
	T	だん	真丹	しんだん
	T	だん	黄丹	おうだん
MISSING_CANDIDATE	乞	ごい	3
	T	ごい	命乞	いのちごい
	T	ごい	暇乞	いとまごい
	T	ごい	物乞	ものごい
MISSING_CANDIDATE	乾	から	10
	T	から	乾っ風	からっかぜ
	T	から	乾びる	からびる
	T	から	乾咳	からせき
	T	から	乾干し	からぼし
	T	から	乾炒り	からいり
MISSING_CANDIDATE	亀	きっ	6
	T	きっ	亀甲	きっこう
	T	きっ	亀甲形	きっこうがた
	T	きっ	亀甲括弧	きっこうかっこ
	T	きっ	亀甲模様	きっこうもよう
	T	きっ	亀甲獣骨文字	きっこうじゅうこつもじ
MISSING_CANDIDATE	介	すけ	3
	T	すけ	次元大介	じげんだいすけ
	T	すけ	鱒の介	ますのすけ
	T	すけ	鱒之介	ますのすけ
MISSING_CANDIDATE	仰	ごう	3
	T	ごう	欽仰	きんごう
	T	ごう	渇仰	かつごう
	T	ごう	随喜渇仰	ずいきかつごう
MISSING_CANDIDATE	仰	の	3
	T	の	仰け反る	のけぞる
	T	の	仰け様	のけさま
	T	の	仰け様	のけざま
MISSING_CANDIDATE	伏	ぶく	3
	T	ぶく	悪魔調伏	あくまちょうぶく
	T	ぶく	調伏	じょうぶく
	T	ぶく	調伏	ちょうぶく
MISSING_CANDIDATE	伏	ぶし	4
	T	ぶし	山伏	やまぶし
	T	ぶし	山伏茸	やまぶしたけ
	T	ぶし	床伏	とこぶし
	T	ぶし	野伏	のぶし
MISSING_CANDIDATE	伐	ばっ	4
	T	ばっ	伐倒	ばっとう
	T	ばっ	伐採	ばっさい
	T	ばっ	伐期	ばっき
	T	ばっ	森林伐採	しんりんばっさい
MISSING_CANDIDATE	伯	お	16
	T	お	伯母	おば
	T	お	伯母さん	おばさん
	T	お	伯母ちゃん	おばちゃん
	T	お	伯母者人	おばじゃひと
	T	お	伯父	おじ
MISSING_CANDIDATE	伯	はっ	3
	T	はっ	伯兄	はっけい
	T	はっ	伯国	はっこく
	T	はっ	伯家神道	はっけしんとう
MISSING_CANDIDATE	伯	ぱく	5
	T	ぱく	サンパウロ日伯援護協会	さんぱうろにっぱくえんごきょうかい
	T	ぱく	日伯	にっぱく
	T	ぱく	日伯学園	にっぱくがくえん
	T	ぱく	日伯方式	にっぱくほうしき
	T	ぱく	雲伯方言	うんぱくほうげん
MISSING_CANDIDATE	伴	とも	6
	T	とも	お伴	おとも
	T	とも	伴	とも
	T	とも	伴なう	ともなう
	T	とも	伴船	ともぶね
	T	とも	伴連れ	ともづれ
MISSING_CANDIDATE	伸	のば	5
