MISSING_CANDIDATE	俄	にわ	13
	T	にわ	俄か	にわか
	T	にわ	俄かに	にわかに
	T	にわ	俄かファン	にわかふぁん
	T	にわ	俄か仕立て	にわかじたて
	T	にわ	俄か仕込み	にわかじこみ
MISSING_CANDIDATE	其	そ	101
	T	そ	そっくり其の儘	そっくりそのまま
	T	そ	何の其の	なんのその
	T	そ	其	そ
	T	そ	其の	その
	T	そ	其のため	そのため
MISSING_CANDIDATE	冴	さえ	3
	T	さえ	冴	さえ
	T	さえ	冴渡る	さえわたる
	T	さえ	冴返る	さえかえる
MISSING_CANDIDATE	函	ばこ	3
	T	ばこ	外函	そとばこ
	T	ばこ	暗函	あんばこ
	T	ばこ	紙函	かみばこ
MISSING_CANDIDATE	卜	うら	3
	T	うら	亀卜	かめうら
	T	うら	卜	うら
	T	うら	龜卜	かめうら
MISSING_CANDIDATE	厩	まや	3
	T	まや	厩だし	まやだし
	T	まや	厩出	まやだし
	T	まや	厩出し	まやだし
MISSING_CANDIDATE	吞	の	4
	T	の	吞む	のむ
	T	の	声を吞む	こえをのむ
	T	の	湯吞み茶碗	ゆのみぢゃわん
	T	の	言葉を吞む	ことばをのむ
MISSING_CANDIDATE	吾	わ	7
	T	わ	吾	わ
	T	わ	吾が	わが
	T	わ	吾が輩	わがはい
	T	わ	吾れ	われ
	T	わ	吾主	わぬし
MISSING_CANDIDATE	喰	ばみ	4
	T	ばみ	片喰	かたばみ
	T	ばみ	端喰	はしばみ
	T	ばみ	紫片喰	むらさきかたばみ
	T	ばみ	芋片喰	いもかたばみ
MISSING_CANDIDATE	坐	いま	5
	T	いま	坐す	います
	T	いま	坐すかり	いますかり
	T	いま	坐すがり	いますがり
	T	いま	坐そかり	いまそかり
	T	いま	坐そがり	いまそがり
MISSING_CANDIDATE	堵	ど	3
	T	ど	安堵	あんど
	T	ど	安堵感	あんどかん
	T	ど	本領安堵	ほんりょうあんど
MISSING_CANDIDATE	奄	あま	3
	T	あま	奄美の黒兎	あまみのくろうさぎ
	T	あま	奄美棘鼠	あまみとげねずみ
	T	あま	奄美雀鯛	あまみすずめだい
MISSING_CANDIDATE	姥	おば	4
	T	おば	姥捨	おばすて
	T	おば	姥捨て	おばすて
	T	おば	姥捨て山	おばすてやま
	T	おば	姥捨山	おばすてやま
MISSING_CANDIDATE	嬉	うれし	3
	T	うれし	嬉泣	うれしなき
	T	うれし	嬉泣き	うれしなき
	T	うれし	嬉涙	うれしなみだ
MISSING_CANDIDATE	尖	こす	3
	T	こす	尖み	こすみ
	T	こす	尖み付け	こすみつけ
	T	こす	尖む	こすむ
MISSING_CANDIDATE	尖	と	5
	T	と	尖がった	とがった
	T	と	尖がる	とがる
	T	と	尖んがった	とんがった
	T	と	尖んがり	とんがり
	T	と	尖んがる	とんがる
MISSING_CANDIDATE	尖	とんが	5
	T	とんが	尖った	とんがった
	T	とんが	尖り屋根	とんがりやね
	T	とんが	尖り帽子	とんがりぼうし
	T	とんが	尖り笹の葉貝	とんがりささのはがい
	T	とんが	尖る	とんがる
MISSING_CANDIDATE	嵩	がさ	4
	T	がさ	値嵩	ねがさ
	T	がさ	値嵩株	ねがさかぶ
	T	がさ	気嵩	きがさ
	T	がさ	荷嵩み	にがさみ
MISSING_CANDIDATE	嶺	ね	10
	T	ね	嶺颪	ねおろし
	T	ね	青嶺	あおね
	T	ね	高嶺	たかね
	T	ね	高嶺の花	たかねのはな
	T	ね	高嶺の華	たかねのはな
MISSING_CANDIDATE	已	すんで	3
	T	すんで	已に	すんでに
	T	すんで	已の事	すんでのこと
	T	すんで	已の所で	すんでのところで
MISSING_CANDIDATE	巴	ば	4
	T	ば	大巴旦	おおばたん
	T	ば	小巴旦	こばたん
	T	ば	巴丹	ばたん
	T	ば	黄巴旦	きばたん
MISSING_CANDIDATE	幡	わた	3
	T	わた	八幡の薮知らず	やわたのやぶしらず
