MISSING_CANDIDATE	万	ま	4
	T	ま	伊万里焼	いまりやき
	T	ま	伊万里焼き	いまりやき
	T	ま	古伊万里	こいまり
	T	ま	須万	すま
MISSING_CANDIDATE	今	こ	6
	T	こ	今宵	こよい
	T	こ	今年	ことし
	T	こ	今年中に	ことしちゅうに
	T	こ	今年初	ことしはつ
	T	こ	今日は	こにちは
MISSING_CANDIDATE	会	あい	17
	T	あい	会津塗	あいづぬり
	T	あい	会津大学	あいづだいがく
	T	あい	会津戦争	あいづせんそう
	T	あい	会津短期大学	あいづたんきだいがく
	T	あい	会津養護学校	あいづようごがっこう
MISSING_CANDIDATE	体	だい	5
	T	だい	容体	ようだい
	T	だい	容体ぶる	ようだいぶる
	T	だい	容体振る	ようだいぶる
	T	だい	様体	ようだい
	T	だい	身体	しんだい
MISSING_CANDIDATE	何	いず	11
	T	いず	何れ	いずれ
	T	いず	何れか	いずれか
	T	いず	何れにしても	いずれにしても
	T	いず	何れにしろ	いずれにしろ
	T	いず	何れにせよ	いずれにせよ
MISSING_CANDIDATE	何	ど	22
	T	ど	何う	どう
	T	ど	何の	どの
	T	ど	何のあたり	どのあたり
	T	ど	何のくらい	どのくらい
	T	ど	何の位	どのくらい
MISSING_CANDIDATE	何	ばく	4
	T	ばく	幾何	いくばく
	T	ばく	幾何か	いくばくか
	T	ばく	幾何もなく	いくばくもなく
	T	ばく	幾何も無く	いくばくもなく
MISSING_CANDIDATE	作	な	3
	T	な	作す	なす
	T	な	山を作す	やまをなす
	T	な	色を作す	いろをなす
MISSING_CANDIDATE	兄	せ	3
	T	せ	兄の君	せのきみ
	T	せ	兄子	せこ
	T	せ	吾兄	あせ
MISSING_CANDIDATE	兄	にい	11
	T	にい	お兄さん	おにいさん
	T	にい	お兄ちゃん	おにいちゃん
	T	にい	お兄系	おにいけい
	T	にい	兄	にい
	T	にい	兄さま	にいさま
MISSING_CANDIDATE	光	みつ	4
	T	みつ	光村図書出版	みつむらとしょしゅっぱん
	T	みつ	出光美術館	いでみつびじゅつかん
	T	みつ	出光興産	いでみつこうさん
	T	みつ	竹光	たけみつ
MISSING_CANDIDATE	公	きん	3
	T	きん	公平	きんぴら
	T	きん	公時	きんとき
	T	きん	公達	きんだち
MISSING_CANDIDATE	冬	どう	3
	T	どう	天門冬	てんもんどう
	T	どう	款冬	かんどう
	T	どう	突抜忍冬	つきぬきにんどう
MISSING_CANDIDATE	刀	ち	34
	T	ち	ひと太刀	ひとたち
	T	ち	一太刀	ひとたち
	T	ち	二の太刀	にのたち
	T	ち	助太刀	すけだち
	T	ち	受け太刀	うけだち
MISSING_CANDIDATE	刀	と	4
	T	と	刀伊	とい
	T	と	刀禰	とね
	T	と	刀自	とじ
	T	と	母刀自	ははとじ
MISSING_CANDIDATE	刀	なた	3
	T	なた	刀豆	なたまめ
	T	なた	薙刀	なぎなた
	T	なた	薙刀術	なぎなたじゅつ
MISSING_CANDIDATE	分	いた	8
	T	いた	大分	おおいた
	T	いた	大分トリニータ	おおいたとりにーた
	T	いた	大分医科大学	おおいたいかだいがく
	T	いた	大分大学	おおいただいがく
	T	いた	大分県	おおいたけん
MISSING_CANDIDATE	分	わか	38
	T	わか	たもとを分つ	たもとをわかつ
	T	わか	わけの分らない	わけのわからない
	T	わか	丸分り	まるわかり
	T	わか	分ち	わかち
	T	わか	分ちあう	わかちあう
MISSING_CANDIDATE	分	わけ	8
	T	わけ	仕分	しわけ
	T	わけ	分目	わけめ
	T	わけ	振分髪	ふりわけがみ
	T	わけ	申分	もうしわけ
	T	わけ	腑分	ふわけ
MISSING_CANDIDATE	切	きっ	43
	T	きっ	フリー切符	ふりーきっぷ
	T	きっ	使用済み切手	しようずみきって
	T	きっ	切かけ	きっかけ
	T	きっ	切先	きっさき
	T	きっ	切尖	きっさき
MISSING_CANDIDATE	切	ぎっ	12
	T	ぎっ	不渡り小切手	ふわたりこぎって
	T	ぎっ	保証小切手	ほしょうこぎって
	T	ぎっ	偽小切手	ぎこぎって
	T	ぎっ	小切手	こぎって
	T	ぎっ	小切手外交	こぎってがいこう
MISSING_CANDIDATE	切	ぎれ	3
	T	ぎれ	古代切	こだいぎれ
	T	ぎれ	棒切	ぼうぎれ
	T	ぎれ	高野切	こうやぎれ
MISSING_CANDIDATE	前	さき	11
	T	さき	前	さき
	T	さき	前山	さきやま
	T	さき	店前	たなさき
	T	さき	弘前	ひろさき
	T	さき	弘前医療福祉大学	ひろさきいりょうふくしだいがく
MISSING_CANDIDATE	前	せん	3
	T	せん	前水	せんすい
	T	せん	税引き前収益	ぜいびきせんしゅうえき
	T	せん	税引き前損失	ぜいびきせんそんしつ
MISSING_CANDIDATE	北	ぽく	4
	T	ぽく	県北	けんぽく
	T	ぽく	真北	しんぽく
	T	ぽく	脱北	だっぽく
	T	ぽく	脱北者	だっぽくしゃ
MISSING_CANDIDATE	午	ひる	3
